file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,089af86d,KrazyKatz,2025-04-03,11:50:04,-07:00,2025-04-03T11:50:04-07:00,0,2
style.css,2,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,1,27
style.css,3,css,9ff28563,KrazyKatz,2025-04-10,19:02:41,-07:00,2025-04-10T19:02:41-07:00,1,13
style.css,4,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,1,9
style.css,5,css,8fa21b3f,KrazyKatz,2025-04-10,19:39:07,-07:00,2025-04-10T19:39:07-07:00,1,40
style.css,6,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,1,13
style.css,7,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,0,0
style.css,8,css,ece7a29b,KrazyKatz,2025-04-17,17:48:57,-07:00,2025-04-17T17:48:57-07:00,0,0
style.css,9,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,0,4
style.css,10,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,1,8
style.css,11,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,0,0
style.css,12,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,0,6
style.css,13,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,1,16
style.css,14,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,0,0
style.css,15,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,0,6
style.css,16,css,90ae2985,KrazyKatz,2025-04-03,12:32:49,-07:00,2025-04-03T12:32:49-07:00,1,16
style.css,17,css,746c63d0,KrazyKatz,2025-04-10,19:31:43,-07:00,2025-04-10T19:31:43-07:00,0,0
style.css,18,css,746c63d0,KrazyKatz,2025-04-10,19:31:43,-07:00,2025-04-10T19:31:43-07:00,0,0
style.css,19,css,aea188ff,KrazyKatz,2025-04-10,19:36:10,-07:00,2025-04-10T19:36:10-07:00,0,3
style.css,20,css,aea188ff,KrazyKatz,2025-04-10,19:36:10,-07:00,2025-04-10T19:36:10-07:00,0,4
style.css,21,css,aea188ff,KrazyKatz,2025-04-10,19:36:10,-07:00,2025-04-10T19:36:10-07:00,0,14
style.css,22,css,aea188ff,KrazyKatz,2025-04-10,19:36:10,-07:00,2025-04-10T19:36:10-07:00,0,0
style.css,23,css,aea188ff,KrazyKatz,2025-04-10,19:36:10,-07:00,2025-04-10T19:36:10-07:00,0,0
style.css,24,css,aea188ff,KrazyKatz,2025-04-10,19:36:10,-07:00,2025-04-10T19:36:10-07:00,0,1
style.css,25,css,1a48abe1,KrazyKatz,2025-04-10,19:37:58,-07:00,2025-04-10T19:37:58-07:00,0,10
style.css,26,css,1a48abe1,KrazyKatz,2025-04-10,19:37:58,-07:00,2025-04-10T19:37:58-07:00,0,17
style.css,27,css,1a48abe1,KrazyKatz,2025-04-10,19:37:58,-07:00,2025-04-10T19:37:58-07:00,0,55
